x1_exp,mean_w_exp
0.00529, -0.04480
0.05337, -0.02468
0.10763, 0.01368
0.15704, 0.04924
0.21129, 0.08152
0.26423, 0.10398
0.31672, 0.12433
0.37053, 0.14304
0.42038, 0.15778
0.47375, 0.16901
0.52757, 0.16994
0.58050, 0.15287
0.62991, 0.12830
0.68328, 0.09602
0.73666, 0.06257
0.79047, 0.02655
0.84341, -0.00526
0.89369, -0.03965
0.94618, -0.06959
0.99162, -0.08596
