x_comp,std_u_comp
0.0441,0.0575506
0.04425,0.0575906
0.0444,0.0576305
0.04455,0.0576705
0.0447,0.0577105
0.04485,0.0577504
0.045,0.0577904
0.04515,0.0578304
0.0453,0.0578703
0.04545,0.0579103
0.0456,0.0579503
0.04575,0.0579902
0.0459,0.0580302
0.04605,0.0580702
0.0462,0.0581102
0.04635,0.0581501
0.0465,0.0581901
0.04665,0.0582301
0.0468,0.05827
0.04695,0.0582963
0.0471,0.0583088
0.04725,0.0583213
0.0474,0.0583338
0.04755,0.0583463
0.0477,0.0583588
0.04785,0.0583714
0.048,0.0583839
0.04815,0.0583964
0.0483,0.0584089
0.04845,0.0584214
0.0486,0.0584339
0.04875,0.0584464
0.0489,0.058459
0.04905,0.0584715
0.0492,0.058484
0.04935,0.0584965
0.0495,0.058509
0.04965,0.0585215
0.0498,0.058534
0.04995,0.0585466
0.0501,0.0585591
0.05025,0.0585716
0.0504,0.0585841
0.05055,0.0585966
0.0507,0.0586091
0.05085,0.0586216
0.051,0.0586342
0.05115,0.0586467
0.0513,0.0586592
0.05145,0.0586717
0.0516,0.0586781
0.05175,0.0586662
0.0519,0.0586542
0.05205,0.0586423
0.0522,0.0586304
0.05235,0.0586184
0.0525,0.0586065
0.05265,0.0585946
0.0528,0.0585826
0.05295,0.0585707
0.0531,0.0585587
0.05325,0.0585468
0.0534,0.0585349
0.05355,0.0585229
0.0537,0.058511
0.05385,0.0584991
0.054,0.0584871
0.05415,0.0584752
0.0543,0.0584633
0.05445,0.0584513
0.0546,0.0584394
0.05475,0.0584275
0.0549,0.0584155
0.05505,0.0584036
0.0552,0.0583917
0.05535,0.0583797
0.0555,0.0583678
0.05565,0.0583558
0.0558,0.0583439
0.05595,0.058332
0.0561,0.05832
0.05625,0.0583081
0.0564,0.0583073
0.05655,0.0583064
0.0567,0.0583056
0.05685,0.0583048
0.057,0.058304
0.05715,0.0583031
0.0573,0.0583023
0.05745,0.0583015
0.0576,0.0583006
0.05775,0.0582998
0.0579,0.058299
0.05805,0.0582981
0.0582,0.0582973
0.05835,0.0582965
0.0585,0.0582956
0.05865,0.0582948
0.0588,0.058294
0.05895,0.0582932
0.0591,0.0582923
0.05925,0.0582915
0.0594,0.0582907
0.05955,0.0582898
0.0597,0.058289
0.05985,0.0582882
0.06,0.0582873
0.06015,0.0582865
0.0603,0.0582857
0.06045,0.0582848
0.0606,0.058284
0.06075,0.0582832
0.0609,0.0582824
0.06105,0.0582958
0.0612,0.0583141
0.06135,0.0583323
0.0615,0.0583506
0.06165,0.0583688
0.0618,0.058387
0.06195,0.0584053
0.0621,0.0584235
0.06225,0.0584418
0.0624,0.05846
0.06255,0.0584783
0.0627,0.0584965
0.06285,0.0585148
0.063,0.058533
0.06315,0.0585512
0.0633,0.0585695
0.06345,0.0585877
0.0636,0.058606
0.06375,0.0586242
0.0639,0.0586425
0.06405,0.0586607
0.0642,0.0586789
0.06435,0.0586972
0.0645,0.0587154
0.06465,0.0587337
0.0648,0.0587519
0.06495,0.0587702
0.0651,0.0587884
0.06525,0.0588067
0.0654,0.0588249
0.06555,0.0588431
0.0657,0.0588592
0.06585,0.0588731
0.066,0.0588869
0.06615,0.0589008
0.0663,0.0589147
0.06645,0.0589285
0.0666,0.0589424
0.06675,0.0589563
0.0669,0.0589701
0.06705,0.058984
0.0672,0.0589979
0.06735,0.0590117
0.0675,0.0590256
0.06765,0.0590395
0.0678,0.0590533
0.06795,0.0590672
0.0681,0.0590811
0.06825,0.0590949
0.0684,0.0591088
0.06855,0.0591227
0.0687,0.0591365
0.06885,0.0591504
0.069,0.0591643
0.06915,0.0591781
0.0693,0.059192
0.06945,0.0592059
0.0696,0.0592197
0.06975,0.0592336
0.0699,0.0592475
0.07005,0.0592613
0.0702,0.0592752
0.07035,0.0592844
0.0705,0.0592797
0.07065,0.059275
0.0708,0.0592703
0.07095,0.0592656
0.0711,0.0592609
0.07125,0.0592562
0.0714,0.0592515
0.07155,0.0592468
0.0717,0.0592421
0.07185,0.0592374
0.072,0.0592327
0.07215,0.059228
0.0723,0.0592233
0.07245,0.0592186
0.0726,0.0592139
0.07275,0.0592092
0.0729,0.0592045
0.07305,0.0591998
0.0732,0.0591951
0.07335,0.0591904
0.0735,0.0591857
0.07365,0.059181
0.0738,0.0591763
0.07395,0.0591716
0.0741,0.0591669
0.07425,0.0591622
0.0744,0.0591575
0.07455,0.0591527
0.0747,0.059148
0.07485,0.0591433
0.075,0.0591386
0.07515,0.0590883
0.0753,0.0590379
0.07545,0.0589875
0.0756,0.0589371
0.07575,0.0588868
0.0759,0.0588364
0.07605,0.058786
0.0762,0.0587356
0.07635,0.0586853
0.0765,0.0586349
0.07665,0.0585845
0.0768,0.0585341
0.07695,0.0584838
0.0771,0.0584334
0.07725,0.058383
0.0774,0.0583327
0.07755,0.0582823
0.0777,0.0582319
0.07785,0.0581815
0.078,0.0581312
0.07815,0.0580808
0.0783,0.0580304
0.07845,0.05798
0.0786,0.0579297
0.07875,0.0578793
0.0789,0.0578289
0.07905,0.0577785
0.0792,0.0577282
0.07935,0.0576778
0.0795,0.0576274
0.07965,0.057577
0.0798,0.057529
0.07995,0.0574816
0.0801,0.0574343
0.08025,0.057387
0.0804,0.0573397
0.08055,0.0572924
0.0807,0.0572451
0.08085,0.0571978
0.081,0.0571505
0.08115,0.0571031
0.0813,0.0570558
0.08145,0.0570085
0.0816,0.0569612
0.08175,0.0569139
0.0819,0.0568666
0.08205,0.0568193
0.0822,0.0567719
0.08235,0.0567246
0.0825,0.0566773
0.08265,0.05663
0.0828,0.0565827
0.08295,0.0565354
0.0831,0.0564881
0.08325,0.0564408
0.0834,0.0563934
0.08355,0.0563461
0.0837,0.0562988
0.08385,0.0562515
0.084,0.0562042
