ke_stddev,u_average,u_stddev,v_average,v_stddev,w_average,w_stddev,x_comp
0,0,0,0,0,0,0,0
0.0125546,-0.00475144,0.0321325,-0.0164924,0.0901621,-0.0523834,0.125926,0.00535714
0.0158113,-0.00773279,0.052362,-0.0198176,0.0914204,-0.029139,0.143129,0.0107143
0.0167074,-0.0113946,0.0649415,-0.0179695,0.0881421,-0.00676836,0.146312,0.0160714
0.017128,-0.015218,0.0730356,-0.0132906,0.0857598,0.0126948,0.146826,0.0214286
0.0179978,-0.0171164,0.0784263,-0.00947232,0.085876,0.0330671,0.149868,0.0267857
0.0194502,-0.0177494,0.0832524,-0.00775001,0.0862523,0.0570176,0.156582,0.0321429
0.0207519,-0.018272,0.0876815,-0.00558545,0.0876202,0.080324,0.161665,0.0375
0.0208596,-0.0177824,0.090976,-0.00484144,0.0887994,0.101301,0.159853,0.0428571
0.0206461,-0.0189749,0.0918782,-0.00661207,0.0906377,0.121776,0.156947,0.0482143
0.0201958,-0.0207002,0.0920481,-0.00915744,0.0915398,0.140201,0.153408,0.0535714
0.0194744,-0.0208252,0.0931019,-0.01156,0.0922066,0.157622,0.147541,0.0589286
0.018933,-0.0181214,0.0938818,-0.0135023,0.0936825,0.175159,0.142367,0.0642857
0.0189533,-0.0128773,0.0931824,-0.013529,0.0960725,0.187847,0.141381,0.0696429
0.0190642,-0.00778391,0.0920431,-0.0110937,0.0985583,0.191499,0.141212,0.075
0.0190233,-0.00532782,0.0919096,-0.00881065,0.0984098,0.190016,0.141102,0.0803571
0.019606,-0.00317444,0.0913079,-0.00632251,0.0957189,0.184651,0.147293,0.0857143
0.0207788,-0.000758989,0.0893077,-0.00369548,0.095671,0.173952,0.156239,0.0910714
0.0213636,0.00229688,0.0863513,-0.00235635,0.0961222,0.157839,0.161326,0.0964286
0.0207038,0.00489821,0.0831531,-0.00362193,0.0932237,0.138236,0.16061,0.101786
0.0195788,0.00664858,0.0809851,-0.0066316,0.0907186,0.117745,0.156088,0.107143
0.0181122,0.00910077,0.0809292,-0.00681156,0.0892716,0.094974,0.147322,0.1125
0.0168582,0.0112551,0.0820593,-0.00488386,0.0860552,0.0699281,0.139905,0.117857
0.0162354,0.0121986,0.0809478,-0.00318656,0.0842238,0.0469838,0.137195,0.123214
0.0162924,0.0110929,0.0773295,-0.00233153,0.0865603,0.0265193,0.138206,0.128571
0.0163739,0.00862137,0.0684308,-0.00206888,0.0911457,0.00499477,0.140445,0.133929
0.0155187,0.00577669,0.0528231,-0.00144801,0.0945963,-0.019494,0.138728,0.139286
0.0123713,0.00233217,0.0307824,-0.000166167,0.092162,-0.047033,0.123339,0.144643
0,0,0,0,0,0,0,0.15
