N,min(u),q1(u),med(u),q3(u),max(u),avg(u),std(u),min(v),q1(v),med(v),q3(v),max(v),avg(v),std(v),min(w),q1(w),med(w),q3(w),max(w),avg(w),std(w),min(isoQ),q1(isoQ),med(isoQ),q3(isoQ),max(isoQ),avg(isoQ),std(isoQ),min(vortmag),q1(vortmag),med(vortmag),q3(vortmag),max(vortmag),avg(vortmag),std(vortmag),min(pressure),q1(pressure),med(pressure),q3(pressure),max(pressure),avg(pressure),std(pressure),min(viscosity),q1(viscosity),med(viscosity),q3(viscosity),max(viscosity),avg(viscosity),std(viscosity),min(density),q1(density),med(density),q3(density),max(density),avg(density),std(density),min(volfrac),q1(volfrac),med(volfrac),q3(volfrac),max(volfrac),avg(volfrac),std(volfrac),min(dpm_u),q1(dpm_u),med(dpm_u),q3(dpm_u),max(dpm_u),avg(dpm_u),std(dpm_u),min(dpm_v),q1(dpm_v),med(dpm_v),q3(dpm_v),max(dpm_v),avg(dpm_v),std(dpm_v),min(dpm_w),q1(dpm_w),med(dpm_w),q3(dpm_w),max(dpm_w),avg(dpm_w),std(dpm_w),min(vtkGhostType),q1(vtkGhostType),med(vtkGhostType),q3(vtkGhostType),max(vtkGhostType),avg(vtkGhostType),std(vtkGhostType),min(vtkValidPointMask),q1(vtkValidPointMask),med(vtkValidPointMask),q3(vtkValidPointMask),max(vtkValidPointMask),avg(vtkValidPointMask),std(vtkValidPointMask),min(vtkOriginalPointIds),q1(vtkOriginalPointIds),med(vtkOriginalPointIds),q3(vtkOriginalPointIds),max(vtkOriginalPointIds),avg(vtkOriginalPointIds),std(vtkOriginalPointIds),min(X),q1(X),med(X),q3(X),max(X),avg(X),std(X),min(Y),q1(Y),med(Y),q3(Y),max(Y),avg(Y),std(Y),min(Z),q1(Z),med(Z),q3(Z),max(Z),avg(Z),std(Z),vtkValidPointMask,Time,vtkOriginalIndices,__vtkIsSelected__,vtkCompositeIndexArray
1,0.0594282,0.0594282,0.0594282,0.0594282,0.0594282,0.0594282,0,-0.124348,-0.124348,-0.124348,-0.124348,-0.124348,-0.124348,0,0.342967,0.342967,0.342967,0.342967,0.342967,0.342967,0,-250.182,-250.182,-250.182,-250.182,-250.182,-250.182,0,16.368,16.368,16.368,16.368,16.368,16.368,0,1925.48,1925.48,1925.48,1925.48,1925.48,1925.48,0,0.0135401,0.0135401,0.0135401,0.0135401,0.0135401,0.0135401,0,998.222,998.222,998.222,998.222,998.222,998.222,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.075,0.075,0.075,0.075,0.075,0.075,0,0.075,0.075,0.075,0.075,0.075,0.075,0,0.25,0.25,0.25,0.25,0.25,0.25,0,1,20,10,0,1
1,-0.0582345,-0.0582345,-0.0582345,-0.0582345,-0.0582345,-0.0582345,0,0.0310681,0.0310681,0.0310681,0.0310681,0.0310681,0.0310681,0,0.168828,0.168828,0.168828,0.168828,0.168828,0.168828,0,92.6575,92.6575,92.6575,92.6575,92.6575,92.6575,0,21.9309,21.9309,21.9309,21.9309,21.9309,21.9309,0,1915.68,1915.68,1915.68,1915.68,1915.68,1915.68,0,0.00770295,0.00770295,0.00770295,0.00770295,0.00770295,0.00770295,0,971.476,971.476,971.476,971.476,971.476,971.476,0,1,1,1,1,1,1,0,-2.79074e-09,-2.79074e-09,-2.79074e-09,-2.79074e-09,-2.79074e-09,-2.79074e-09,0,-5.9765e-09,-5.9765e-09,-5.9765e-09,-5.9765e-09,-5.9765e-09,-5.9765e-09,0,7.13961e-08,7.13961e-08,7.13961e-08,7.13961e-08,7.13961e-08,7.13961e-08,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.075,0.075,0.075,0.075,0.075,0.075,0,0.075,0.075,0.075,0.075,0.075,0.075,0,0.25,0.25,0.25,0.25,0.25,0.25,0,1,21,11,0,1
1,-0.0237373,-0.0237373,-0.0237373,-0.0237373,-0.0237373,-0.0237373,0,-0.16501,-0.16501,-0.16501,-0.16501,-0.16501,-0.16501,0,0.103991,0.103991,0.103991,0.103991,0.103991,0.103991,0,-74.9892,-74.9892,-74.9892,-74.9892,-74.9892,-74.9892,0,12.5303,12.5303,12.5303,12.5303,12.5303,12.5303,0,1903.08,1903.08,1903.08,1903.08,1903.08,1903.08,0,0.00871512,0.00871512,0.00871512,0.00871512,0.00871512,0.00871512,0,941.567,941.567,941.567,941.567,941.567,941.567,0,1,1,1,1,1,1,0,-0.00600799,-0.00600799,-0.00600799,-0.00600799,-0.00600799,-0.00600799,0,-0.0123212,-0.0123212,-0.0123212,-0.0123212,-0.0123212,-0.0123212,0,0.0513627,0.0513627,0.0513627,0.0513627,0.0513627,0.0513627,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.075,0.075,0.075,0.075,0.075,0.075,0,0.075,0.075,0.075,0.075,0.075,0.075,0,0.25,0.25,0.25,0.25,0.25,0.25,0,1,22,12,0,1
1,-0.0817121,-0.0817121,-0.0817121,-0.0817121,-0.0817121,-0.0817121,0,-0.132295,-0.132295,-0.132295,-0.132295,-0.132295,-0.132295,0,0.223914,0.223914,0.223914,0.223914,0.223914,0.223914,0,-120.837,-120.837,-120.837,-120.837,-120.837,-120.837,0,13.0065,13.0065,13.0065,13.0065,13.0065,13.0065,0,1893.68,1893.68,1893.68,1893.68,1893.68,1893.68,0,0.00984517,0.00984517,0.00984517,0.00984517,0.00984517,0.00984517,0,948.345,948.345,948.345,948.345,948.345,948.345,0,1,1,1,1,1,1,0,-0.0195524,-0.0195524,-0.0195524,-0.0195524,-0.0195524,-0.0195524,0,-0.0340966,-0.0340966,-0.0340966,-0.0340966,-0.0340966,-0.0340966,0,0.0997762,0.0997762,0.0997762,0.0997762,0.0997762,0.0997762,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.075,0.075,0.075,0.075,0.075,0.075,0,0.075,0.075,0.075,0.075,0.075,0.075,0,0.25,0.25,0.25,0.25,0.25,0.25,0,1,23,13,0,1
1,-0.0512676,-0.0512676,-0.0512676,-0.0512676,-0.0512676,-0.0512676,0,-0.0135602,-0.0135602,-0.0135602,-0.0135602,-0.0135602,-0.0135602,0,0.28616,0.28616,0.28616,0.28616,0.28616,0.28616,0,-172.551,-172.551,-172.551,-172.551,-172.551,-172.551,0,8.63456,8.63456,8.63456,8.63456,8.63456,8.63456,0,1897.31,1897.31,1897.31,1897.31,1897.31,1897.31,0,0.00902098,0.00902098,0.00902098,0.00902098,0.00902098,0.00902098,0,964.148,964.148,964.148,964.148,964.148,964.148,0,1,1,1,1,1,1,0,-0.00764182,-0.00764182,-0.00764182,-0.00764182,-0.00764182,-0.00764182,0,0.00338066,0.00338066,0.00338066,0.00338066,0.00338066,0.00338066,0,0.0751935,0.0751935,0.0751935,0.0751935,0.0751935,0.0751935,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.075,0.075,0.075,0.075,0.075,0.075,0,0.075,0.075,0.075,0.075,0.075,0.075,0,0.25,0.25,0.25,0.25,0.25,0.25,0,1,24,14,0,1
1,0.0187255,0.0187255,0.0187255,0.0187255,0.0187255,0.0187255,0,0.0452053,0.0452053,0.0452053,0.0452053,0.0452053,0.0452053,0,0.15616,0.15616,0.15616,0.15616,0.15616,0.15616,0,-118.808,-118.808,-118.808,-118.808,-118.808,-118.808,0,34.5154,34.5154,34.5154,34.5154,34.5154,34.5154,0,1894.96,1894.96,1894.96,1894.96,1894.96,1894.96,0,0.0171803,0.0171803,0.0171803,0.0171803,0.0171803,0.0171803,0,997.998,997.998,997.998,997.998,997.998,997.998,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.075,0.075,0.075,0.075,0.075,0.075,0,0.075,0.075,0.075,0.075,0.075,0.075,0,0.25,0.25,0.25,0.25,0.25,0.25,0,1,25,15,0,1
1,-0.0835,-0.0835,-0.0835,-0.0835,-0.0835,-0.0835,0,0.0986699,0.0986699,0.0986699,0.0986699,0.0986699,0.0986699,0,0.0240697,0.0240697,0.0240697,0.0240697,0.0240697,0.0240697,0,94.8932,94.8932,94.8932,94.8932,94.8932,94.8932,0,25.1616,25.1616,25.1616,25.1616,25.1616,25.1616,0,1905.75,1905.75,1905.75,1905.75,1905.75,1905.75,0,0.00925142,0.00925142,0.00925142,0.00925142,0.00925142,0.00925142,0,976.278,976.278,976.278,976.278,976.278,976.278,0,1,1,1,1,1,1,0,-5.95909e-09,-5.95909e-09,-5.95909e-09,-5.95909e-09,-5.95909e-09,-5.95909e-09,0,4.91263e-09,4.91263e-09,4.91263e-09,4.91263e-09,4.91263e-09,4.91263e-09,0,3.18288e-08,3.18288e-08,3.18288e-08,3.18288e-08,3.18288e-08,3.18288e-08,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.075,0.075,0.075,0.075,0.075,0.075,0,0.075,0.075,0.075,0.075,0.075,0.075,0,0.25,0.25,0.25,0.25,0.25,0.25,0,1,26,16,0,1
1,-0.223279,-0.223279,-0.223279,-0.223279,-0.223279,-0.223279,0,-0.167299,-0.167299,-0.167299,-0.167299,-0.167299,-0.167299,0,0.143424,0.143424,0.143424,0.143424,0.143424,0.143424,0,-210.577,-210.577,-210.577,-210.577,-210.577,-210.577,0,8.63819,8.63819,8.63819,8.63819,8.63819,8.63819,0,1913.9,1913.9,1913.9,1913.9,1913.9,1913.9,0,0.0105524,0.0105524,0.0105524,0.0105524,0.0105524,0.0105524,0,981.382,981.382,981.382,981.382,981.382,981.382,0,1,1,1,1,1,1,0,-0.0174647,-0.0174647,-0.0174647,-0.0174647,-0.0174647,-0.0174647,0,-0.0156545,-0.0156545,-0.0156545,-0.0156545,-0.0156545,-0.0156545,0,0.0401663,0.0401663,0.0401663,0.0401663,0.0401663,0.0401663,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.075,0.075,0.075,0.075,0.075,0.075,0,0.075,0.075,0.075,0.075,0.075,0.075,0,0.25,0.25,0.25,0.25,0.25,0.25,0,1,27,17,0,1
1,-0.0104359,-0.0104359,-0.0104359,-0.0104359,-0.0104359,-0.0104359,0,-0.0631461,-0.0631461,-0.0631461,-0.0631461,-0.0631461,-0.0631461,0,0.371996,0.371996,0.371996,0.371996,0.371996,0.371996,0,-60.3291,-60.3291,-60.3291,-60.3291,-60.3291,-60.3291,0,21.8511,21.8511,21.8511,21.8511,21.8511,21.8511,0,1892.6,1892.6,1892.6,1892.6,1892.6,1892.6,0,0.0125937,0.0125937,0.0125937,0.0125937,0.0125937,0.0125937,0,998.172,998.172,998.172,998.172,998.172,998.172,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.075,0.075,0.075,0.075,0.075,0.075,0,0.075,0.075,0.075,0.075,0.075,0.075,0,0.25,0.25,0.25,0.25,0.25,0.25,0,1,28,18,0,1
1,0.118099,0.118099,0.118099,0.118099,0.118099,0.118099,0,0.0773758,0.0773758,0.0773758,0.0773758,0.0773758,0.0773758,0,0.458568,0.458568,0.458568,0.458568,0.458568,0.458568,0,55.4209,55.4209,55.4209,55.4209,55.4209,55.4209,0,21.3257,21.3257,21.3257,21.3257,21.3257,21.3257,0,1877.89,1877.89,1877.89,1877.89,1877.89,1877.89,0,0.00974555,0.00974555,0.00974555,0.00974555,0.00974555,0.00974555,0,979.477,979.477,979.477,979.477,979.477,979.477,0,1,1,1,1,1,1,0,3.17109e-10,3.17109e-10,3.17109e-10,3.17109e-10,3.17109e-10,3.17109e-10,0,8.71803e-09,8.71803e-09,8.71803e-09,8.71803e-09,8.71803e-09,8.71803e-09,0,5.89539e-08,5.89539e-08,5.89539e-08,5.89539e-08,5.89539e-08,5.89539e-08,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.075,0.075,0.075,0.075,0.075,0.075,0,0.075,0.075,0.075,0.075,0.075,0.075,0,0.25,0.25,0.25,0.25,0.25,0.25,0,1,29,19,0,1
