x1_exp,std_ke_exp
0.03657,0.01192
0.07360,0.01549
0.11017,0.01743
0.14273,0.01959
0.17930,0.02158
0.21142,0.02186
0.24799,0.02441
0.28368,0.02560
0.31624,0.02543
0.35236,0.02414
0.38537,0.02473
0.42105,0.02369
0.45674,0.02313
0.49153,0.02316
0.52721,0.02360
0.56021,0.02320
0.59590,0.02390
0.63247,0.02401
0.66459,0.02390
0.70205,0.02474
0.73863,0.02300
0.77029,0.02172
0.80687,0.02003
0.84032,0.01950
0.87600,0.01720
0.91169,0.01493
0.94380,0.01238
0.98037,0.00993
