ke_stddev,u_average,u_stddev,v_average,v_stddev,w_average,w_stddev,x_comp
0,0,0,0,0,0,0,0
0.0131063,0.002067,0.0293155,0.00528368,0.0878771,-0.0625341,0.132602,0.00535714
0.0138803,0.00199536,0.0481214,0.00665439,0.0812221,-0.0383965,0.137149,0.0107143
0.0144941,0.000952115,0.0615625,0.00847378,0.0773826,-0.017117,0.138504,0.0160714
0.0153493,2.9017e-06,0.0718953,0.00881336,0.0764462,0.00439288,0.140245,0.0214286
0.016582,0.000169766,0.0788401,0.00694572,0.0797723,0.0276062,0.143432,0.0267857
0.0179,-0.000499029,0.082817,0.00512395,0.0862706,0.0520599,0.146599,0.0321429
0.0188416,-0.00277257,0.0849334,0.00590204,0.0898644,0.0744179,0.14964,0.0375
0.0195612,-0.00612473,0.0857778,0.00864908,0.0902219,0.0930304,0.153697,0.0428571
0.0197444,-0.00949498,0.0860262,0.0108928,0.0901432,0.110048,0.154787,0.0482143
0.0190013,-0.0122866,0.0864034,0.0107111,0.0892935,0.123905,0.150177,0.0535714
0.017915,-0.0139905,0.0868977,0.00889028,0.0886349,0.132367,0.142864,0.0589286
0.0170731,-0.0141913,0.0866269,0.00631531,0.0870547,0.137874,0.138058,0.0642857
0.0170654,-0.0129656,0.0867307,0.00388189,0.0840885,0.143316,0.139763,0.0696429
0.0175139,-0.0107194,0.0871931,0.00221923,0.0838233,0.147297,0.14282,0.075
0.0174765,-0.00717661,0.0874156,0.00073394,0.0847067,0.149156,0.1419,0.0803571
0.0174739,-0.00338322,0.0871384,0.00104075,0.0830646,0.149934,0.143003,0.0857143
0.0181339,4.01421e-06,0.0873264,0.00189211,0.0816967,0.147966,0.14819,0.0910714
0.0188418,0.00206702,0.0878433,0.00106357,0.0816888,0.138643,0.152614,0.0964286
0.0193846,0.00266511,0.0878492,-0.000504835,0.0831008,0.122036,0.155381,0.101786
0.0199606,0.00251918,0.0867652,-0.000848425,0.0849917,0.103009,0.158642,0.107143
0.0202636,0.00196228,0.0845042,-0.000384826,0.0861824,0.0835387,0.161117,0.1125
0.0200501,0.00139725,0.0818137,-0.000537586,0.0871223,0.0642289,0.160665,0.117857
0.0192132,0.00196289,0.0778456,-0.00119564,0.0886342,0.0449557,0.15652,0.123214
0.0178669,0.00254898,0.071745,-0.00092001,0.0890042,0.0243643,0.150489,0.128571
0.0166791,0.00314248,0.0631277,-0.000322842,0.0894092,0.00333623,0.146141,0.133929
0.0159175,0.00272705,0.0508205,-0.000979255,0.0939381,-0.0185186,0.142787,0.139286
0.0146483,0.0013569,0.0313912,-0.00237115,0.100382,-0.0463763,0.134829,0.144643
0,0,0,0,0,0,0,0.15
