x1_exp,std_w_exp
0.03629764065335753,0.15077782192678188
0.07168784029038112,0.16640750008054211
0.10707803992740471,0.17091291787927276
0.13974591651542648,0.17766621205124628
0.176043557168784,0.18063338309045415
0.21234119782214156,0.17803842395214725
0.24954627949183303,0.18065078018449512
0.28130671506352084,0.18042161105681978
0.3166969147005444,0.17510454364844985
0.3539019963702359,0.16860447384529473
0.38566243194192373,0.17381909169986792
0.42014519056261335,0.17051364383208584
0.45735027223230484,0.1709958225496408
0.4900181488203266,0.17029349541983912
0.5263157894736842,0.1695920274057926
0.5635208711433756,0.17054757890441263
0.5961887477313974,0.17883933461484766
0.6297640653357531,0.17955734060718007
0.6669691470054446,0.182643069620593
0.6996370235934664,0.18288748805292154
0.7341197822141561,0.17839860823247672
0.7704174228675136,0.1724900396267142
0.8030852994555353,0.1682374166389244
0.8393829401088929,0.16919275335860565
0.8747731397459164,0.1602070468969813
0.9092558983666061,0.15737497181026427
0.9446460980036298,0.15146618842556298
0.9809437386569873,0.13964046005648684
