ke_stddev,u_average,u_stddev,v_average,v_stddev,w_average,w_stddev,isoQ_average,isoQ_stddev,vortmag_average,vortmag_stddev,pressure_average,pressure_stddev,viscosity_average,viscosity_stddev,density_average,density_stddev,volfrac_average,volfrac_stddev,dpm_u_average,dpm_u_stddev,dpm_v_average,dpm_v_stddev,dpm_w_average,dpm_w_stddev,vtkGhostType_average,vtkGhostType_stddev,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__
0.00221438,0.000330779,0.00850542,0.000546939,0.0293879,-0.0336847,0.0383792,-56.9881,54.781,18.1276,6.13112,1928.6,6.29444,0.01856,0.0053483,995.501,9.18385,1,0,-0.000188828,0.00242391,0.000142008,0.00242195,0.00462924,0.0218319,0,0,1,0.00255,0.00255,0.075,0.25,17,0
0.00234464,0.000350237,0.00900574,0.000579111,0.0311166,-0.0356661,0.0406368,-56.9441,54.7147,17.9295,6.02442,1928.59,6.29486,0.0183958,0.00526983,995.485,9.21333,1,0,-0.000200944,0.00253987,0.000151972,0.00243834,0.00467041,0.0217686,0,0,1,0.0027,0.0027,0.075,0.25,18,0
0.0024749,0.000369694,0.00950605,0.000611284,0.0328453,-0.0376476,0.0428944,-56.9001,54.6484,17.7315,5.91773,1928.58,6.29528,0.0182316,0.00519137,995.469,9.24281,1,0,-0.000213061,0.00265583,0.000161936,0.00245473,0.00471159,0.0217054,0,0,1,0.00285,0.00285,0.075,0.25,19,0
0.00260515,0.000389152,0.0100064,0.000643457,0.034574,-0.039629,0.045152,-56.8561,54.5821,17.5335,5.81104,1928.58,6.29569,0.0180675,0.00511291,995.453,9.27228,1,0,-0.000225177,0.00277178,0.000171901,0.00247111,0.00475277,0.0216421,0,0,1,0.003,0.003,0.075,0.25,20,0
0.00273541,0.000408609,0.0105067,0.00067563,0.0363027,-0.0416105,0.0474096,-56.8121,54.5157,17.3354,5.70434,1928.57,6.29611,0.0179033,0.00503444,995.437,9.30176,1,0,-0.000237293,0.00288774,0.000181865,0.0024875,0.00479395,0.0215789,0,0,1,0.00315,0.00315,0.075,0.25,21,0
0.00286567,0.000428067,0.011007,0.000707803,0.0380314,-0.0435919,0.0496672,-56.7681,54.4494,17.1374,5.59765,1928.56,6.29653,0.0177391,0.00495598,995.421,9.33124,1,0,-0.00024941,0.0030037,0.000191829,0.00250389,0.00483512,0.0215156,0,0,1,0.0033,0.0033,0.075,0.25,22,0
0.00299593,0.000447524,0.0115073,0.000739976,0.0397601,-0.0455734,0.0519248,-56.7242,54.3831,16.9393,5.49096,1928.55,6.29694,0.017575,0.00487752,995.405,9.36071,1,0,-0.000261526,0.00311966,0.000201793,0.00252027,0.0048763,0.0214523,0,0,1,0.00345,0.00345,0.075,0.25,23,0
0.00312618,0.000466982,0.0120076,0.000772149,0.0414888,-0.0475549,0.0541824,-56.6802,54.3168,16.7413,5.38427,1928.54,6.29736,0.0174108,0.00479905,995.389,9.39019,1,0,-0.000273642,0.00323562,0.000211757,0.00253666,0.00491748,0.0213891,0,0,1,0.0036,0.0036,0.075,0.25,24,0
0.00325644,0.00048644,0.012508,0.000804321,0.0432175,-0.0495363,0.05644,-56.6362,54.2505,16.5433,5.27757,1928.53,6.29778,0.0172466,0.00472059,995.373,9.41967,1,0,-0.000285758,0.00335157,0.000221722,0.00255304,0.00495865,0.0213258,0,0,1,0.00375,0.00375,0.075,0.25,25,0
0.0033867,0.000505897,0.0130083,0.000836494,0.0449462,-0.0515178,0.0586976,-56.5922,54.1842,16.3452,5.17088,1928.52,6.29819,0.0170825,0.00464213,995.357,9.44915,1,0,-0.000297875,0.00346753,0.000231686,0.00256943,0.00499983,0.0212626,0,0,1,0.0039,0.0039,0.075,0.25,26,0
