0.0399,0.0227,0
0.0744,0.04,0.0276627
0.1099,0.0522,0.0491335
0.1427,0.0615,0.0625569
0.1782,0.0729,0.0726724
0.2146,0.0779,0.0800338
0.2146,0.09,0.0853119
0.2829,0.0958,0.0894706
0.3149,0.1002,0.0942442
0.3514,0.1001,0.0966292
0.3877,0.0979,0.0967024
0.4199,0.0951,0.0970924
0.4555,0.0923,0.0966444
0.4924,0.0934,0.0969812
0.5244,0.0953,0.0983582
0.5609,0.0933,0.0976833
0.5974,0.0887,0.0961246
0.6294,0.0887,0.0953801
0.6645,0.0853,0.0963856
0.7014,0.0902,0.0984445
0.7333,0.0852,0.0971762
0.77,0.0831,0.0913752
0.8011,0.0761,0.0827808
0.8385,0.0733,0.0723839
0.8746,0.0659,0.0606476
0.9077,0.0505,0.0450076
0.9434,0.0305,0.0238009
0.9801,0.0141,0.0238009
